                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.7927,                 1.4753,                0.94912,                0.16167,                0.17199,                0.11009,                0.03016,                 2.7742,                 2.6517,                0.95728,             0.00022222,             0.00022222,             0.00022222
                     36,                 2.7948,                 1.4073,                  0.941,                0.16167,                0.17199,                0.11009,                0.03016,                 2.7742,                 2.6517,                0.95728,              0.0002149,              0.0002149,              0.0002149
                     37,                 2.8954,                 1.4712,                  0.926,                0.21333,                0.22695,                0.14986,                0.04726,                 2.6644,                 2.5865,                0.94767,             0.00020678,             0.00020678,             0.00020678
                     38,                 2.7493,                 1.4243,                0.94507,                0.21333,                0.22695,                0.14986,                0.04726,                 2.6644,                 2.5865,                0.94767,             0.00019788,             0.00019788,             0.00019788
                     39,                 2.9776,                 1.4624,                0.94759,                0.24167,                0.25709,                0.18122,                0.05995,                 2.6185,                 2.5326,                0.94421,             0.00018818,             0.00018818,             0.00018818
                     40,                  2.823,                 1.4313,                0.93729,                0.24167,                0.25709,                0.18122,                0.05995,                 2.6185,                 2.5326,                0.94421,             0.00017768,             0.00017768,             0.00017768
                     41,                 2.5496,                 1.3521,                0.93413,                0.27333,                0.29078,                0.21463,                0.07568,                 2.5599,                 2.4706,                 0.9398,              0.0001664,              0.0001664,              0.0001664
                     42,                 2.5617,                 1.3671,                0.98955,                0.27333,                0.29078,                0.21463,                0.07568,                 2.5599,                 2.4706,                 0.9398,             0.00015432,             0.00015432,             0.00015432
                     43,                 2.6335,                 1.4216,                 0.9376,                0.32667,                0.34752,                0.26742,                0.09842,                 2.5028,                 2.4056,                0.93687,             0.00014146,             0.00014146,             0.00014146
                     44,                 2.4205,                 1.3068,                0.92751,                0.32667,                0.34752,                0.26742,                0.09842,                 2.5028,                 2.4056,                0.93687,              0.0001278,              0.0001278,              0.0001278
                     45,                 2.6038,                 1.4094,                0.95016,                   0.37,                0.39362,                0.31095,                0.11493,                 2.4642,                 2.3451,                0.93592,             0.00011334,             0.00011334,             0.00011334
                     46,                 2.4533,                 1.3234,                 0.9286,                   0.37,                0.39362,                0.31095,                0.11493,                 2.4642,                 2.3451,                0.93592,               9.81e-05,               9.81e-05,               9.81e-05
                     47,                 2.4481,                 1.3392,                0.95241,                0.41333,                0.43972,                0.34982,                0.12901,                 2.4446,                  2.293,                0.93592,             8.2064e-05,             8.2064e-05,             8.2064e-05
                     48,                 2.4055,                 1.2978,                0.93591,                0.41333,                0.43972,                0.34982,                0.12901,                 2.4446,                  2.293,                0.93592,             6.5236e-05,             6.5236e-05,             6.5236e-05
                     49,                 3.0145,                   1.55,                 0.9565,                0.45833,                0.48759,                0.38717,                0.14333,                 2.4303,                 2.2469,                  0.935,             4.7616e-05,             4.7616e-05,             4.7616e-05
                     50,                 2.6525,                 1.3549,                0.93398,                0.45833,                0.48759,                0.38717,                0.14333,                 2.4303,                 2.2469,                  0.935,             2.9204e-05,             2.9204e-05,             2.9204e-05
