                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4353,                 3.7932,                 1.0961,                0.00167,                0.00177,                0.00084,                0.00017,                 2.0723,                 3.6286,                0.97562,                      0,                      0,                      0
                      2,                 3.0397,                 3.7794,                 1.1799,                0.00167,                0.00177,                0.00083,                0.00017,                 2.0505,                 3.6255,                0.96671,             1.9802e-05,             1.9802e-05,             1.9802e-05
                      3,                 2.9895,                 3.8049,                 1.1301,                  0.005,                0.00532,                0.00251,                  0.001,                  2.032,                 3.6189,                0.94774,             3.9208e-05,             3.9208e-05,             3.9208e-05
                      4,                 2.5751,                  3.688,                 1.0743,                0.00667,                0.00709,                0.00336,                0.00134,                 2.0846,                 3.6123,                0.93362,             5.8218e-05,             5.8218e-05,             5.8218e-05
                      5,                 2.3274,                 3.5679,                 1.0059,                0.01333,                0.01418,                0.00677,                0.00193,                 2.2944,                 3.6106,                0.93526,             7.6832e-05,             7.6832e-05,             7.6832e-05
                      6,                 2.3474,                 3.4548,                0.96155,                  0.015,                0.01596,                0.00762,                0.00312,                 2.5352,                 3.6001,                 0.9408,              9.505e-05,              9.505e-05,              9.505e-05
