                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3039,                0.65879,                0.83902,                0.97405,                 0.9539,                0.97388,                0.53685,                 1.5445,                 1.0154,                0.89517,             0.00045111,             0.00045111,             0.00045111
                     36,                 1.2924,                0.71867,                0.86871,                0.97405,                 0.9539,                0.97388,                0.53685,                 1.5445,                 1.0154,                0.89517,             0.00045745,             0.00045745,             0.00045745
                     37,                 1.3767,                 0.6713,                0.85069,                0.98546,                0.96138,                0.98086,                0.60538,                 1.3662,                0.99968,                0.87336,             0.00046339,             0.00046339,             0.00046339
                     38,                 1.3407,                0.66658,                0.86171,                0.98546,                0.96138,                0.98086,                0.60538,                 1.3662,                0.99968,                0.87336,             0.00046894,             0.00046894,             0.00046894
                     39,                 1.3185,                0.67463,                0.86928,                0.97871,                0.96631,                0.98111,                0.64051,                 1.2897,                0.98302,                0.86188,             0.00047409,             0.00047409,             0.00047409
                     40,                 1.2407,                 0.6686,                0.85724,                0.97871,                0.96631,                0.98111,                0.64051,                 1.2897,                0.98302,                0.86188,             0.00047884,             0.00047884,             0.00047884
                     41,                 1.2894,                0.64224,                0.85214,                 0.9796,                0.96986,                0.98357,                0.64621,                  1.288,                0.97083,                0.86065,              0.0004832,              0.0004832,              0.0004832
                     42,                 1.2772,                0.64697,                0.83773,                 0.9796,                0.96986,                0.98357,                0.64621,                  1.288,                0.97083,                0.86065,             0.00048716,             0.00048716,             0.00048716
                     43,                 1.3139,                0.63916,                 0.8534,                0.97671,                0.97163,                0.98353,                0.62209,                 1.3421,                0.98302,                0.86514,             0.00049073,             0.00049073,             0.00049073
                     44,                 1.3446,                0.66206,                0.84833,                0.97671,                0.97163,                0.98353,                0.62209,                 1.3421,                0.98302,                0.86514,              0.0004939,              0.0004939,              0.0004939
                     45,                 1.3084,                0.65861,                0.85017,                0.98673,                0.97163,                0.98401,                0.61684,                  1.355,                0.97004,                0.86602,             0.00049667,             0.00049667,             0.00049667
                     46,                 1.3032,                0.64883,                 0.8407,                0.98673,                0.97163,                0.98401,                0.61684,                  1.355,                0.97004,                0.86602,             0.00049905,             0.00049905,             0.00049905
                     47,                 1.3037,                0.66659,                0.85743,                0.98477,                0.96986,                0.98236,                0.63232,                 1.3256,                0.97196,                0.86276,             0.00050103,             0.00050103,             0.00050103
                     48,                 1.2766,                0.63544,                0.86345,                0.98477,                0.96986,                0.98236,                0.63232,                 1.3256,                0.97196,                0.86276,             0.00050262,             0.00050262,             0.00050262
                     49,                 1.3281,                0.63319,                0.84703,                 0.9772,                0.96454,                0.97997,                0.61345,                 1.3823,                0.99409,                 0.8699,             0.00050381,             0.00050381,             0.00050381
                     50,                 1.2552,                 0.6377,                0.85414,                 0.9772,                0.96454,                0.97997,                0.61345,                 1.3823,                0.99409,                 0.8699,              0.0005046,              0.0005046,              0.0005046
                     51,                 1.2819,                0.62306,                0.84752,                0.97468,                0.95541,                 0.9766,                0.57295,                  1.484,                0.98799,                0.88374,               0.000505,               0.000505,               0.000505
                     52,                  1.204,                0.60656,                0.82919,                0.97468,                0.95541,                 0.9766,                0.57295,                  1.484,                0.98799,                0.88374,               0.000505,               0.000505,               0.000505
                     53,                 1.3135,                0.63832,                0.87171,                0.97468,                0.95541,                 0.9766,                0.57295,                  1.484,                0.98799,                0.88374,             0.00050461,             0.00050461,             0.00050461
                     54,                 1.4155,                0.65668,                0.84248,                0.97334,                 0.9539,                0.97387,                0.54798,                 1.5278,                0.92149,                0.88948,             0.00050382,             0.00050382,             0.00050382
                     55,                 1.3003,                0.62668,                0.83572,                0.97334,                 0.9539,                0.97387,                0.54798,                 1.5278,                0.92149,                0.88948,             0.00050263,             0.00050263,             0.00050263
                     56,                 1.3589,                0.66191,                0.88432,                0.97334,                 0.9539,                0.97387,                0.54798,                 1.5278,                0.92149,                0.88948,             0.00050105,             0.00050105,             0.00050105
                     57,                 1.3181,                 0.6221,                0.86088,                0.98884,                0.96809,                0.98198,                0.61237,                 1.3381,                0.78642,                0.86578,             0.00049907,             0.00049907,             0.00049907
                     58,                 1.3619,                0.63931,                0.83947,                0.98884,                0.96809,                0.98198,                0.61237,                 1.3381,                0.78642,                0.86578,              0.0004967,              0.0004967,              0.0004967
                     59,                 1.2565,                0.62346,                0.86118,                0.98884,                0.96809,                0.98198,                0.61237,                 1.3381,                0.78642,                0.86578,             0.00049393,             0.00049393,             0.00049393
                     60,                 1.2838,                0.61778,                0.85557,                0.99098,                0.97362,                0.98649,                0.65469,                 1.2463,                 0.6925,                0.85303,             0.00049076,             0.00049076,             0.00049076
                     61,                 1.2815,                0.62434,                 0.8542,                0.99098,                0.97362,                0.98649,                0.65469,                 1.2463,                 0.6925,                0.85303,              0.0004872,              0.0004872,              0.0004872
                     62,                 1.2225,                0.63038,                0.84509,                0.99098,                0.97362,                0.98649,                0.65469,                 1.2463,                 0.6925,                0.85303,             0.00048324,             0.00048324,             0.00048324
                     63,                 1.3525,                0.62836,                0.85342,                 0.9886,                 0.9734,                0.98392,                0.66647,                 1.2333,                 0.6511,                0.84964,             0.00047889,             0.00047889,             0.00047889
                     64,                 1.5663,                0.70822,                0.85113,                 0.9886,                 0.9734,                0.98392,                0.66647,                 1.2333,                 0.6511,                0.84964,             0.00047414,             0.00047414,             0.00047414
                     65,                 1.4623,                0.65036,                0.85287,                 0.9886,                 0.9734,                0.98392,                0.66647,                 1.2333,                 0.6511,                0.84964,             0.00046899,             0.00046899,             0.00046899
                     66,                 1.2859,                0.65279,                0.85728,                0.98844,                 0.9734,                0.98455,                0.65618,                 1.2603,                0.65634,                0.85444,             0.00046345,             0.00046345,             0.00046345
                     67,                 1.2801,                0.63398,                0.85233,                0.98844,                 0.9734,                0.98455,                0.65618,                 1.2603,                0.65634,                0.85444,             0.00045751,             0.00045751,             0.00045751
