                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4353,                 3.7932,                 1.0961,                0.00167,                0.00177,                0.00084,                0.00017,                 2.0723,                 3.6286,                0.97562,                      0,                      0,                      0
                      2,                 3.0397,                 3.7794,                 1.1799,                0.00167,                0.00177,                0.00083,                0.00017,                 2.0505,                 3.6255,                0.96671,             1.9802e-05,             1.9802e-05,             1.9802e-05
                      3,                 2.9895,                 3.8049,                 1.1301,                  0.005,                0.00532,                0.00251,                  0.001,                  2.032,                 3.6189,                0.94774,             3.9208e-05,             3.9208e-05,             3.9208e-05
                      4,                 2.5751,                  3.688,                 1.0743,                0.00667,                0.00709,                0.00336,                0.00134,                 2.0846,                 3.6123,                0.93362,             5.8218e-05,             5.8218e-05,             5.8218e-05
                      5,                 2.3274,                 3.5679,                 1.0059,                0.01333,                0.01418,                0.00677,                0.00193,                 2.2944,                 3.6106,                0.93526,             7.6832e-05,             7.6832e-05,             7.6832e-05
                      6,                 2.3474,                 3.4548,                0.96155,                  0.015,                0.01596,                0.00762,                0.00312,                 2.5352,                 3.6001,                 0.9408,              9.505e-05,              9.505e-05,              9.505e-05
                      7,                  2.421,                 3.2818,                 0.9317,                0.00333,                0.00355,                0.00167,                0.00075,                 2.7056,                  3.563,                0.94183,             0.00011287,             0.00011287,             0.00011287
                      8,                 2.4144,                 3.1031,                0.93679,                0.00333,                0.00355,                0.00167,                0.00075,                 2.7516,                 3.5167,                 0.9354,              0.0001303,              0.0001303,              0.0001303
                      9,                 2.2504,                 2.8326,                0.90209,                0.00333,                0.00355,                0.00167,                0.00075,                 2.6243,                 3.4473,                0.92226,             0.00014733,             0.00014733,             0.00014733
                     10,                 2.3079,                 2.6383,                0.90323,                0.00333,                0.00355,                0.00167,                0.00075,                 2.4165,                 3.3967,                0.90679,             0.00016396,             0.00016396,             0.00016396
                     11,                 2.1587,                 2.4827,                0.89678,                0.00333,                0.00355,                0.00167,                0.00075,                 2.2798,                 3.3704,                0.89761,              0.0001802,              0.0001802,              0.0001802
                     12,                 2.0101,                 2.0884,                0.87256,                0.00333,                0.00355,                0.00167,                0.00075,                 2.1998,                 3.3497,                0.89031,             0.00019604,             0.00019604,             0.00019604
                     13,                 2.1408,                 1.5878,                0.87639,                0.00333,                0.00355,                0.00167,                0.00075,                 2.0997,                 3.3198,                0.87937,             0.00021149,             0.00021149,             0.00021149
                     14,                 2.2197,                 1.5695,                0.88336,                  0.015,                0.01596,                0.02017,                0.00452,                 2.0781,                 3.2786,                0.87485,             0.00022654,             0.00022654,             0.00022654
                     15,                 1.8914,                 1.2921,                 0.8688,                   0.07,                0.07447,                0.09924,                0.03049,                 2.0479,                 3.1828,                0.86824,             0.00024119,             0.00024119,             0.00024119
                     16,                 2.0408,                 1.1484,                0.87098,                  0.125,                0.13298,                0.17097,                0.05302,                 2.1149,                 3.1005,                0.87132,             0.00025545,             0.00025545,             0.00025545
                     17,                  1.799,                 1.0515,                0.86203,                0.19167,                 0.2039,                 0.2617,                0.08749,                 2.1094,                 3.0025,                0.87021,             0.00026931,             0.00026931,             0.00026931
                     18,                 1.9624,                 1.0534,                0.87847,                0.19167,                 0.2039,                 0.2617,                0.08749,                 2.1094,                 3.0025,                0.87021,             0.00028278,             0.00028278,             0.00028278
                     19,                 1.8275,                0.99844,                0.85692,                   0.28,                0.29787,                 0.3757,                0.14269,                 2.0208,                 2.8702,                0.86376,             0.00029585,             0.00029585,             0.00029585
                     20,                 1.8317,                  1.008,                0.88879,                   0.28,                0.29787,                 0.3757,                0.14269,                 2.0208,                 2.8702,                0.86376,             0.00030852,             0.00030852,             0.00030852
                     21,                 1.7682,                 1.0207,                0.87487,                0.40167,                 0.4273,                0.51691,                0.20664,                 1.9128,                 2.7137,                0.86014,              0.0003208,              0.0003208,              0.0003208
                     22,                 2.0617,                 1.0252,                0.88263,                0.40167,                 0.4273,                0.51691,                0.20664,                 1.9128,                 2.7137,                0.86014,             0.00033268,             0.00033268,             0.00033268
                     23,                 2.1529,                 1.1004,                0.89526,                   0.47,                    0.5,                0.58686,                0.23856,                 1.9157,                 2.5639,                0.86479,             0.00034417,             0.00034417,             0.00034417
                     24,                 1.6443,                0.86024,                0.86437,                   0.47,                    0.5,                0.58686,                0.23856,                 1.9157,                 2.5639,                0.86479,             0.00035526,             0.00035526,             0.00035526
                     25,                 1.7195,                0.97398,                0.85948,                0.56167,                0.59752,                0.66215,                 0.2693,                 1.9425,                 2.4405,                0.86463,             0.00036595,             0.00036595,             0.00036595
                     26,                 1.6123,                0.90172,                 0.8588,                0.56167,                0.59752,                0.66215,                 0.2693,                 1.9425,                 2.4405,                0.86463,             0.00037625,             0.00037625,             0.00037625
                     27,                 1.7582,                 0.9216,                0.86899,                0.64167,                0.68262,                0.72471,                0.30038,                 1.9287,                 2.3491,                0.86375,             0.00038615,             0.00038615,             0.00038615
                     28,                 1.6936,                 0.8812,                0.85454,                0.64167,                0.68262,                0.72471,                0.30038,                 1.9287,                 2.3491,                0.86375,             0.00039566,             0.00039566,             0.00039566
                     29,                 1.9181,                0.99807,                 0.8757,                   0.68,                 0.7234,                0.72049,                0.30619,                 1.9088,                 2.2993,                0.86163,             0.00040477,             0.00040477,             0.00040477
                     30,                 1.7696,                0.92347,                0.86628,                   0.68,                 0.7234,                0.72049,                0.30619,                 1.9088,                 2.2993,                0.86163,             0.00041348,             0.00041348,             0.00041348
                     31,                 2.0188,                0.96801,                0.87709,                   0.67,                0.71277,                0.67645,                 0.2642,                 2.0076,                 2.2856,                0.86979,              0.0004218,              0.0004218,              0.0004218
                     32,                 1.9591,                 1.0173,                0.86074,                   0.67,                0.71277,                0.67645,                 0.2642,                 2.0076,                 2.2856,                0.86979,             0.00042972,             0.00042972,             0.00042972
                     33,                 1.8434,                0.92863,                 0.8626,                0.67667,                0.71986,                  0.702,                0.26201,                 2.1121,                 2.2138,                0.87758,             0.00043725,             0.00043725,             0.00043725
                     34,                 1.7698,                0.89976,                0.86566,                0.67667,                0.71986,                  0.702,                0.26201,                 2.1121,                 2.2138,                0.87758,             0.00044438,             0.00044438,             0.00044438
                     35,                 1.8567,                0.91878,                0.84677,                0.73833,                0.78546,                0.78717,                0.31753,                 2.0612,                  2.109,                0.87297,             0.00045111,             0.00045111,             0.00045111
                     36,                 1.7874,                0.91762,                0.87042,                0.73833,                0.78546,                0.78717,                0.31753,                 2.0612,                  2.109,                0.87297,             0.00045745,             0.00045745,             0.00045745
                     37,                 1.8965,                0.94738,                0.85015,                0.79167,                 0.8422,                0.86314,                 0.4245,                 1.8398,                 1.9696,                0.85655,             0.00046339,             0.00046339,             0.00046339
                     38,                  1.726,                0.91122,                0.85594,                0.79167,                 0.8422,                0.86314,                 0.4245,                 1.8398,                 1.9696,                0.85655,             0.00046894,             0.00046894,             0.00046894
                     39,                 1.7016,                0.89061,                0.85879,                   0.83,                0.88298,                0.90879,                0.47989,                 1.7537,                 1.8718,                0.85357,             0.00047409,             0.00047409,             0.00047409
                     40,                 1.6708,                0.86247,                0.85445,                   0.83,                0.88298,                0.90879,                0.47989,                 1.7537,                 1.8718,                0.85357,             0.00047884,             0.00047884,             0.00047884
                     41,                 1.6954,                0.87302,                0.84987,                0.85167,                0.90603,                0.93429,                 0.4981,                  1.706,                 1.7998,                0.85112,              0.0004832,              0.0004832,              0.0004832
                     42,                 1.6151,                 0.8022,                0.83971,                0.85167,                0.90603,                0.93429,                 0.4981,                  1.706,                 1.7998,                0.85112,             0.00048716,             0.00048716,             0.00048716
                     43,                 1.6825,                0.84093,                0.84752,                0.84667,                0.90071,                 0.9287,                0.48513,                 1.6947,                 1.7585,                0.84602,             0.00049073,             0.00049073,             0.00049073
                     44,                 1.7447,                0.84392,                0.84795,                0.84667,                0.90071,                 0.9287,                0.48513,                 1.6947,                 1.7585,                0.84602,              0.0004939,              0.0004939,              0.0004939
                     45,                 1.7364,                0.84837,                 0.8474,                  0.855,                0.90957,                0.93243,                 0.4785,                 1.7196,                 1.7047,                0.84822,             0.00049667,             0.00049667,             0.00049667
                     46,                 1.7961,                0.84818,                0.83694,                  0.855,                0.90957,                0.93243,                 0.4785,                 1.7196,                 1.7047,                0.84822,             0.00049905,             0.00049905,             0.00049905
                     47,                 1.7195,                0.88087,                 0.8462,                  0.855,                0.90957,                0.93601,                0.50205,                 1.7349,                 1.5935,                0.85648,             0.00050103,             0.00050103,             0.00050103
